SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532309,GEPIL       ,A ,Q,268.50,272.60,266.55,270.20,270.20,268.75,373,14087,3809698.00,
532310,SHREE RAMA  ,B ,Q,10.13,10.31,9.74,10.02,10.00,10.00,65,6365,63710.00,
532313,MAHINDRALIFE,A ,Q,520.00,537.20,520.00,527.50,525.00,524.60,187,1037,548542.00,
532316,S KUMARS.COM,Z ,Q,0.95,0.95,0.91,0.91,0.91,0.95,5,249,227.00,
532320,VAARAD      ,X ,Q,3.64,3.64,3.64,3.64,3.64,3.63,3,25,91.00,
532321,CADILA HEALT,A ,Q,430.00,437.75,426.30,431.60,431.00,425.45,2164,90149,38948072.00,
532323,SHIVA CEMENT,X ,Q,18.30,18.80,17.70,17.80,17.90,18.30,605,350694,6308800.00,
532324,CINEVISTA   ,B ,Q,6.26,6.35,6.04,6.05,6.05,6.36,10,1357,8406.00,
532326,INTENS TECH ,B ,Q,32.60,34.05,32.40,33.75,34.05,32.60,52,7274,244242.00,
532329,DANLAW TECH.,XT,Q,244.45,244.45,244.45,244.45,244.45,239.70,21,1877,458832.00,
532331,AJANTA PHARM,A ,Q,1800.10,1802.00,1775.00,1778.35,1781.05,1815.50,364,2310,4129804.00,
532332,CURATECH    ,Z ,Q,1.87,1.87,1.87,1.87,1.87,1.96,1,25,46.00,
532333,HB PORTFOLIO,X ,Q,20.50,21.45,19.90,21.00,20.95,20.35,91,10350,214913.00,
532334,HB ESTATE DE,X ,Q,11.88,12.50,11.88,11.88,11.88,12.50,41,1405,16729.00,
532339,COMPUCOM SOF,B ,Q,8.40,8.88,8.40,8.68,8.64,8.89,68,23855,204159.00,
532340,OMNI AX'S SO,X ,Q,1.71,1.71,1.71,1.71,1.71,1.71,1,20,34.00,
532341,IZMO        ,B ,Q,56.20,56.20,53.50,53.55,53.55,56.30,67,12397,670166.00,
532343,TVS MOTOR L ,A ,Q,584.00,590.15,576.00,580.75,580.75,584.05,1902,296149,172383674.00,
532344,SOFTSOL (I) ,X ,Q,76.65,80.30,76.65,80.20,80.30,76.50,11,280,22031.00,
532345,GATI LTD.   ,A ,Q,104.00,112.65,104.00,109.95,109.95,106.70,1248,111296,12223788.00,
532348,SUBEX LTX   ,B ,Q,36.15,38.10,35.75,37.20,37.20,36.20,7289,1140950,42384638.00,
532349,TRANSPORT CO,A ,Q,244.10,260.90,244.10,258.65,258.50,243.00,3074,66145,16924354.00,
532350,PADMALAYA TE,XT,Q,2.49,2.49,2.37,2.37,2.37,2.38,13,2688,6665.00,
532351,AKSH OPTIFIB,B ,Q,6.10,6.26,5.85,5.95,6.01,6.07,126,51411,308302.00,
532356,TRIVENI ENGG,A ,Q,84.50,85.50,83.50,84.50,84.55,84.30,317,43865,3701429.00,
532357,MUKTA ARTS  ,B ,Q,31.10,31.35,29.80,30.10,29.80,31.05,28,2089,63910.00,
532359,HITKIT GLOB ,XT,Q,0.49,0.49,0.49,0.49,0.49,0.49,4,750,367.00,
532362,NAGPUR POWER,X ,Q,28.80,29.05,28.80,29.05,29.05,27.70,16,8637,250875.00,
532365,DYNACONS SYS,B ,Q,73.00,78.10,71.05,77.95,77.95,73.00,135,5134,385138.00,
532366,PNB GILTS   ,B ,Q,49.95,49.95,48.70,49.30,49.10,48.60,210,37338,1836372.00,
532368,BCG         ,B ,Q,9.28,9.40,8.81,8.97,8.90,9.04,933,856076,7806041.00,
532369,RAMCO INDS. ,A ,Q,264.90,264.90,254.15,258.00,257.25,255.65,149,1579,407083.00,
532370,RAMCO  SYSTM,A ,Q,578.85,584.85,568.00,577.85,575.00,578.85,811,12682,7327303.00,
532371,TATA TELESER,T ,Q,13.80,14.15,13.60,13.75,13.75,14.30,3184,784354,10768677.00,
532372,VIRINCHI    ,X ,Q,37.60,37.60,36.10,36.40,36.70,36.65,146,19471,712963.00,
532373,WEPSOLN     ,X ,Q,16.20,16.20,15.30,15.50,15.50,15.50,38,3390,53139.00,
532374,STER TECH   ,A ,Q,204.00,207.90,203.10,205.00,205.50,204.00,882,55695,11418613.00,
532375,TIPSINDUSTR ,T ,Q,486.05,526.95,486.05,510.00,510.00,509.20,41,2094,1050604.00,
532378,UNIVERSAL A ,X ,Q,0.95,0.95,0.95,0.95,0.95,0.95,1,18000,17100.00,
532379,FIRSTOBJ    ,X ,Q,5.00,5.00,5.00,5.00,5.00,5.00,2,3060,15300.00,
532380,BABA ARTS   ,X ,Q,10.30,10.30,8.51,9.30,9.27,9.73,38,2012,19742.00,
532382,BALAJI TELE.,A ,Q,60.45,60.45,57.70,57.95,58.10,59.25,330,19401,1136010.00,
532384,TYCHE INDS  ,X ,Q,174.75,174.75,165.00,166.95,166.95,166.90,301,22983,3871278.00,
532386,CALIFORN.SOF,B ,Q,9.01,9.06,8.89,9.06,9.06,8.76,30,3216,28787.00,
532387,PRITISHN COM,B ,Q,31.30,31.30,31.30,31.30,31.30,29.85,8,3934,123134.00,
532388,INDIAN OVER.,A ,Q,15.60,15.85,14.95,15.05,15.05,15.60,3138,1437545,21858494.00,
532390,TAJ GVK HOTL,A ,Q,119.30,119.30,112.70,116.70,116.55,112.70,454,15184,1745906.00,
532391,OPTO CIRCUIT,T ,Q,3.78,3.78,3.51,3.51,3.51,3.69,181,218634,780262.00,
532392,CREATIVE EYE,B ,Q,3.05,3.16,3.05,3.16,3.16,3.01,13,11516,36225.00,
532395,AXISCADES   ,B ,Q,47.45,47.50,42.75,43.55,43.55,44.90,200,11706,512634.00,
532397,KONNDOR     ,X ,Q,2.09,2.30,2.09,2.30,2.30,2.20,5,3724,8501.00,
532398,UMESL       ,T ,Q,4.25,4.25,4.25,4.25,4.25,4.47,3,668,2839.00,
532400,BSOFT       ,A ,Q,249.00,250.40,240.20,248.05,248.05,245.40,4589,93160,22754374.00,
532404,SAVEN TECHNO,X ,Q,28.65,31.65,28.65,31.45,30.55,30.15,140,19056,567644.00,
532406,AVANTEL LTD ,X ,Q,396.60,397.00,385.10,389.60,395.00,399.05,117,9672,3770102.00,
532407,MOSCHIP     ,X ,Q,23.40,23.40,23.40,23.40,23.40,24.60,111,58994,1380459.00,
532408,MEGASOFT LTD,B ,Q,9.71,10.01,9.70,9.71,9.71,9.79,43,8968,87974.00,
532410,TRANSCORP IN,X ,Q,9.40,9.40,8.33,8.74,8.74,8.80,145,12866,112480.00,
532411,VISESH INFO.,T ,Q,0.19,0.19,0.19,0.19,0.19,0.19,35,196855,37402.00,
532413,CEREBRA INTE,B ,Q,53.05,53.05,51.40,52.50,52.50,52.05,153,19367,1014382.00,
532416,MID-DAY MULT,B ,Q,4.29,4.31,4.15,4.31,4.31,4.29,31,4695,20090.00,
532419,SMARTLINK   ,B ,Q,84.65,85.40,83.60,84.60,84.60,83.20,18,916,76920.00,
532424,GODREJ CONS ,A ,Q,679.90,696.00,670.75,694.50,694.50,673.00,5110,156097,107217906.00,
532425,GENUSPRIME  ,X ,Q,6.99,6.99,6.99,6.99,6.99,6.86,4,600,4194.00,
532430,BF UTILI    ,A ,Q,261.20,267.00,259.10,261.90,261.90,261.75,946,37923,9998245.00,
532432,UNITD SPR   ,B ,Q,540.30,543.40,534.50,542.50,542.50,536.45,2449,69673,37517431.00,
532435,SANINFRA    ,X ,Q,109.65,114.00,107.60,110.95,113.00,112.80,21,364,40687.00,
532439,OLECTRA     ,B ,Q,214.00,221.95,214.00,221.95,221.95,211.40,684,31611,6890898.00,
532440,MPS LTD     ,B ,Q,456.50,462.85,455.30,456.75,455.30,460.00,81,430,196874.00,
532441,RNBOWDENIM  ,X ,Q,1.17,1.18,1.17,1.18,1.18,1.16,4,299,349.00,
532443,CERA SANITAR,A ,Q,3885.00,3904.50,3825.00,3853.70,3825.00,3915.05,104,173,669702.00,
532454,BHARTI ARTL ,A ,Q,533.35,533.35,523.00,527.90,527.90,530.25,11368,517801,273372451.00,
532455,SHALIMAR WIR,X ,Q,4.11,4.45,4.11,4.45,4.45,4.24,19,1292,5637.00,
532456,COMPUAGE INF,B ,Q,17.80,17.90,17.05,17.20,17.15,17.35,185,24253,421119.00,
532457,GULSHAN POLY,B ,Q,92.85,95.45,92.55,93.45,92.85,93.10,1202,112361,10560641.00,
532459,FAZE3AUTO   ,X ,Q,64.70,69.30,63.00,69.30,69.30,63.00,98,8651,587601.00,
532460,PONNI SUG(ER,B ,Q,148.80,149.00,148.80,149.00,149.00,146.50,11,85,12659.00,
532461,PUNJAB NATIO,A ,Q,38.45,38.55,37.50,37.95,37.95,38.45,10297,7362557,279456489.00,
532466,ORACLE FIN  ,A ,Q,3180.05,3250.00,3180.05,3218.70,3221.45,3207.40,700,3010,9702312.00,
532468,KAMAHOLDING ,A ,Q,5583.00,5600.00,5511.00,5512.00,5511.00,5583.30,26,70,388078.00,
532470,MATHER & PLA,XT,Q,5.76,5.76,5.76,5.76,5.76,6.06,2,9,51.00,
532475,APTECH LTD  ,A ,Q,208.05,211.75,205.20,208.60,208.60,206.05,729,48347,10030389.00,
532477,UNION BANK L,A ,Q,35.05,35.65,34.25,34.45,34.45,35.25,1982,585617,20368141.00,
532478,UNITED BREWA,A ,Q,1235.00,1261.00,1206.20,1252.65,1246.95,1218.80,1429,25981,32079424.00,
532479,ISMT LTD    ,B ,Q,11.00,11.13,10.95,10.99,11.11,11.05,103,11944,131314.00,
532481,NOIDA-TOLL B,T ,Q,7.39,7.39,6.77,7.05,6.95,7.07,54,12798,89973.00,
532482,GRANULES (I),A ,Q,315.00,318.95,309.80,311.05,311.05,313.00,1837,47734,14959006.00,
532483,CANARA BANK ,A ,Q,151.00,154.25,147.50,149.90,149.90,151.35,8195,1052654,159016023.00,
532485,BALMER LA.IN,B ,Q,486.00,494.65,482.05,487.00,487.00,480.25,458,12339,6022617.00,
532486,POKARNA LTD ,B ,Q,227.25,249.00,225.80,240.30,240.00,224.20,1417,36940,8895503.00,
532488,DIVI'S LAB. ,A ,Q,3380.00,3444.40,3353.85,3406.75,3402.00,3370.15,1352,18799,64301105.00,
532493,ASTRA MICRO ,A ,Q,136.55,142.50,134.25,138.25,138.25,137.15,1173,62281,8681494.00,
532497,RADICOKHAIT ,A ,Q,531.90,539.75,527.55,531.20,528.50,531.90,973,27422,14690177.00,
532498,SHRMCITYUN  ,A ,Q,1445.00,1445.00,1399.85,1422.85,1415.00,1417.30,365,1135,1609114.00,
532500,MARUTISUZUK ,A ,Q,7111.95,7140.15,7053.55,7103.20,7103.20,7111.95,2958,19239,136475572.00,
532503,RAJAPAMILLS ,X ,Q,700.00,709.65,689.00,699.80,700.00,705.35,236,4943,3448636.00,
