SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532340,OMNI AX'S SO,X ,Q,1.71,1.71,1.71,1.71,1.71,1.71,1,5,8.00,
532341,IZMO        ,B ,Q,50.55,55.45,50.55,55.45,55.45,52.85,105,7573,413131.00,
532343,TVS MOTOR L ,A ,Q,595.05,598.05,586.75,594.65,594.65,592.35,1335,52575,31147080.00,
532344,SOFTSOL (I) ,X ,Q,73.05,79.00,73.05,74.60,73.60,76.10,11,188,13931.00,
532345,GATI LTD.   ,A ,Q,103.30,107.40,103.25,106.20,106.20,104.15,1045,84926,8931311.00,
532348,SUBEX LTX   ,B ,Q,37.65,38.80,36.90,37.90,37.90,37.05,4533,1359809,51561726.00,
532349,TRANSPORT CO,A ,Q,243.45,247.55,243.00,243.15,244.15,243.85,381,4736,1161141.00,
532350,PADMALAYA TE,XT,Q,2.64,2.64,2.51,2.51,2.51,2.64,10,20418,51654.00,
532351,AKSH OPTIFIB,B ,Q,6.39,6.60,6.29,6.33,6.31,6.39,146,64514,414741.00,
532356,TRIVENI ENGG,A ,Q,90.00,92.50,88.35,88.75,88.75,88.85,420,56071,5066807.00,
532357,MUKTA ARTS  ,B ,Q,32.20,33.80,32.20,33.10,33.10,32.20,405,26057,870323.00,
532359,HITKIT GLOB ,XT,Q,0.49,0.49,0.49,0.49,0.49,0.49,10,15630,7658.00,
532365,DYNACONS SYS,B ,Q,70.30,76.55,68.35,76.00,76.55,69.60,486,23821,1747557.00,
532366,PNB GILTS   ,B ,Q,51.85,51.85,50.55,50.80,50.90,51.45,451,51408,2622948.00,
532368,BCG         ,B ,Q,9.37,9.46,9.25,9.46,9.46,9.01,1039,1118904,10542251.00,
532369,RAMCO INDS. ,A ,Q,267.60,268.20,260.00,260.45,260.75,266.45,274,6115,1613962.00,
532370,RAMCO  SYSTM,A ,Q,592.90,620.70,591.70,609.10,609.10,589.20,1129,20928,12751175.00,
532371,TATA TELESER,T ,Q,15.80,15.85,15.60,15.85,15.85,15.10,1594,560830,8874572.00,
532372,VIRINCHI    ,X ,Q,40.00,41.20,39.20,39.75,39.75,39.60,198,25860,1038062.00,
532373,WEPSOLN     ,X ,Q,18.45,18.50,16.50,16.85,16.85,18.05,156,48574,833451.00,
532374,STER TECH   ,A ,Q,217.00,220.10,215.10,216.75,217.30,216.90,546,28602,6217232.00,
532375,TIPSINDUSTR ,T ,Q,500.00,531.50,500.00,515.40,515.40,506.20,38,701,367301.00,
532378,UNIVERSAL A ,X ,Q,0.95,0.95,0.95,0.95,0.95,0.95,3,105,99.00,
532379,FIRSTOBJ    ,X ,Q,4.90,5.25,4.90,5.25,5.25,5.15,2,25,124.00,
532380,BABA ARTS   ,X ,Q,9.35,10.50,9.24,9.99,9.90,9.47,98,9260,92003.00,
532382,BALAJI TELE.,A ,Q,61.65,62.85,60.70,62.30,62.30,61.50,123,9931,610172.00,
532384,TYCHE INDS  ,X ,Q,182.50,189.00,175.10,177.85,178.00,182.50,514,26897,4833410.00,
532386,CALIFORN.SOF,B ,Q,9.35,9.35,8.99,9.15,9.15,9.00,13,7251,66740.00,
532387,PRITISHN COM,B ,Q,25.85,25.85,25.85,25.85,25.85,23.50,13,4296,111051.00,
532388,INDIAN OVER.,A ,Q,17.30,17.40,16.60,16.80,16.80,17.20,1371,696796,11844232.00,
532390,TAJ GVK HOTL,A ,Q,125.60,125.60,119.60,119.95,120.00,120.90,2019,34523,4154083.00,
532391,OPTO CIRCUIT,T ,Q,3.95,4.04,3.87,3.90,3.90,3.93,142,86941,342050.00,
532392,CREATIVE EYE,B ,Q,2.99,2.99,2.89,2.89,2.89,2.99,6,5507,16005.00,
532395,AXISCADES   ,B ,Q,46.25,46.90,45.25,46.05,46.00,45.40,136,15290,705986.00,
532398,UMESL       ,T ,Q,4.26,4.26,4.26,4.26,4.26,4.06,10,885,3770.00,
532400,BSOFT       ,A ,Q,246.70,257.00,246.70,254.35,254.35,246.45,4819,227463,57575488.00,
532402,USGTECH     ,X ,Q,2.25,2.25,2.25,2.25,2.25,2.15,2,700,1575.00,
532404,SAVEN TECHNO,X ,Q,32.80,32.80,32.80,32.80,32.80,31.25,40,5147,168821.00,
532406,AVANTEL LTD ,X ,Q,404.70,407.00,401.00,402.90,401.05,397.55,105,3113,1251853.00,
532407,MOSCHIP     ,X ,Q,23.50,23.50,23.50,23.50,23.50,22.40,57,44057,1035339.00,
532408,MEGASOFT LTD,B ,Q,10.31,10.65,10.20,10.37,10.37,10.31,58,13639,141673.00,
532410,TRANSCORP IN,X ,Q,9.02,9.02,8.51,8.54,8.54,8.95,21,3882,34000.00,
532413,CEREBRA INTE,B ,Q,57.80,57.80,54.45,54.70,54.70,56.70,670,144078,7984281.00,
532416,MID-DAY MULT,B ,Q,4.41,4.50,4.21,4.41,4.41,4.40,5,2780,11968.00,
532419,SMARTLINK   ,B ,Q,90.00,91.00,89.95,90.35,89.95,90.75,67,845,76267.00,
532424,GODREJ CONS ,A ,Q,681.00,681.50,675.00,680.40,680.40,680.80,560,12675,8595829.00,
532425,GENUSPRIME  ,X ,Q,6.48,6.48,6.48,6.48,6.48,6.36,3,612,3965.00,
532430,BF UTILI    ,A ,Q,281.95,281.95,274.00,276.00,276.00,278.70,515,11426,3164650.00,
532432,UNITD SPR   ,B ,Q,538.00,541.70,529.35,537.00,537.00,533.00,1449,43927,23505409.00,
532435,SANINFRA    ,X ,Q,112.50,117.50,111.00,114.05,114.05,112.20,296,28989,3276304.00,
532439,OLECTRA     ,B ,Q,208.00,225.95,206.00,225.40,225.95,215.20,3712,142850,31045654.00,
532440,MPS LTD     ,B ,Q,472.30,479.70,451.55,475.15,472.85,474.45,262,7808,3646871.00,
